Match_id,Match,Batting Position,Batsmen,Runs,Balls,M,4s,6s,Strike Rate,Out/No Out
T20I # 1823,Namibia vs Sri Lanka,1,Michael van Lingen,3,6,7,0,0,50,Out
T20I # 1823,Namibia vs Sri Lanka,2,Divan la Cock,9,9,15,1,0,100,Out
T20I # 1823,Namibia vs Sri Lanka,3,Jan Nicol Loftie-Eaton,20,12,18,1,2,166.66,Out
T20I # 1823,Namibia vs Sri Lanka,4,Stephan Baard,26,24,49,2,0,108.33,Out
T20I # 1823,Namibia vs Sri Lanka,5,Gerhard Erasmus (c),20,24,30,0,0,83.33,Out
T20I # 1823,Namibia vs Sri Lanka,6,Jan Frylinck,44,28,44,4,0,157.14,Out
T20I # 1823,Namibia vs Sri Lanka,7,David Wiese,0,1,4,0,0,0,Out
T20I # 1823,Namibia vs Sri Lanka,8,JJ Smit,31,16,29,2,2,193.75,Not out
T20I # 1823,Namibia vs Sri Lanka,1,Pathum Nissanka,9,10,16,1,0,90,Out
T20I # 1823,Namibia vs Sri Lanka,2,Kusal Mendis †,6,6,8,0,0,100,Out
T20I # 1823,Namibia vs Sri Lanka,3,Dhananjaya de Silva,12,11,25,1,0,109.09,Out
T20I # 1823,Namibia vs Sri Lanka,4,Danushka Gunathilaka,0,1,2,0,0,0,Out
T20I # 1823,Namibia vs Sri Lanka,5,Bhanuka Rajapaksa,20,21,39,2,0,95.23,Out
T20I # 1823,Namibia vs Sri Lanka,6,Dasun Shanaka (c),29,23,37,2,1,126.08,Out
T20I # 1823,Namibia vs Sri Lanka,7,Wanindu Hasaranga de Silva,4,8,9,0,0,50,Out
T20I # 1823,Namibia vs Sri Lanka,8,Chamika Karunaratne,5,8,15,0,0,62.5,Out
T20I # 1823,Namibia vs Sri Lanka,9,Pramod Madushan,0,0,4,0,0,-,Out
T20I # 1823,Namibia vs Sri Lanka,10,Dushmantha Chameera,8,15,20,0,0,53.33,Out
T20I # 1823,Namibia vs Sri Lanka,11,Maheesh Theekshana,11,11,14,0,1,100,Not out
T20I # 1825,Netherlands vs U.A.E.,1,Chirag Suri,12,20,28,1,0,60,Out
T20I # 1825,Netherlands vs U.A.E.,2,Muhammad Waseem,41,47,71,1,2,87.23,Out
T20I # 1825,Netherlands vs U.A.E.,3,Kashif Daud,15,14,19,0,1,107.14,Out
T20I # 1825,Netherlands vs U.A.E.,4,Vriitya Aravind †,18,21,37,0,0,85.71,Out
