Match,Match_id,BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Namibia vs Sri Lanka,T20I # 1823,Maheesh Theekshana,4,0,23,1,5.75,7,0,0,2,0
Namibia vs Sri Lanka,T20I # 1823,Dushmantha Chameera,4,0,39,1,9.75,6,3,1,2,0
Namibia vs Sri Lanka,T20I # 1823,Pramod Madushan,4,0,37,2,9.25,6,3,1,0,0
Namibia vs Sri Lanka,T20I # 1823,Chamika Karunaratne,4,0,36,1,9,7,3,1,1,0
Namibia vs Sri Lanka,T20I # 1823,Wanindu Hasaranga de Silva,4,0,27,1,6.75,8,1,1,0,0
Namibia vs Sri Lanka,T20I # 1823,Gerhard Erasmus,1,0,8,0,8,1,1,0,0,0
Namibia vs Sri Lanka,T20I # 1823,David Wiese,4,0,16,2,4,13,1,0,0,0
Namibia vs Sri Lanka,T20I # 1823,Bernard Scholtz,4,0,18,2,4.5,10,1,0,0,0
Namibia vs Sri Lanka,T20I # 1823,Ben Shikongo,3,1,22,2,7.33,6,3,0,0,0
Namibia vs Sri Lanka,T20I # 1823,JJ Smit,3,0,16,1,5.33,7,0,0,1,0
Namibia vs Sri Lanka,T20I # 1823,Jan Frylinck,4,0,26,2,6.5,10,0,2,1,0
Netherlands vs U.A.E.,T20I # 1825,Fred Klaassen,4,0,13,2,3.25,18,0,0,3,0
Netherlands vs U.A.E.,T20I # 1825,Tim Pringle,4,0,13,1,3.25,11,0,0,0,0
Netherlands vs U.A.E.,T20I # 1825,Logan van Beek,2,0,19,0,9.5,5,0,2,1,0
Netherlands vs U.A.E.,T20I # 1825,Bas de Leede,3,0,19,3,6.33,9,2,0,2,0
Netherlands vs U.A.E.,T20I # 1825,Paul van Meekeren,4,0,21,0,5.25,11,1,0,0,0
Netherlands vs U.A.E.,T20I # 1825,Roelof van der Merwe,3,0,19,1,6.33,7,0,1,0,0
Netherlands vs U.A.E.,T20I # 1825,Junaid Siddique,4,0,24,3,6,10,2,0,1,0
Netherlands vs U.A.E.,T20I # 1825,Basil Hameed,1,0,7,1,7,4,0,1,0,0
Netherlands vs U.A.E.,T20I # 1825,Aayan Afzal Khan,3,0,15,1,5,8,1,0,0,0
Netherlands vs U.A.E.,T20I # 1825,Karthik Meiyappan,4,0,22,1,5.5,11,2,0,0,0
Netherlands vs U.A.E.,T20I # 1825,Zahoor Khan,4,0,11,1,2.75,14,0,0,0,0
Netherlands vs U.A.E.,T20I # 1825,Zawar Farid,2.5,0,24,0,8.47,2,2,0,0,0
Netherlands vs U.A.E.,T20I # 1825,Kashif Daud,1,0,5,0,5,1,0,0,0,0
Scotland vs West Indies,T20I # 1826,Kyle Mayers,2,0,24,0,12,5,5,0,2,0
Scotland vs West Indies,T20I # 1826,Akeal Hosein,4,0,31,0,7.75,8,2,1,0,0
Scotland vs West Indies,T20I # 1826,Alzarri Joseph,4,0,28,2,7,9,3,0,2,0
Scotland vs West Indies,T20I # 1826,Obed McCoy,3,0,25,0,8.33,6,4,0,0,0
Scotland vs West Indies,T20I # 1826,Jason Holder,3,0,14,2,4.66,8,1,0,0,0
Scotland vs West Indies,T20I # 1826,Odean Smith,4,0,31,1,7.75,6,3,0,1,0
Scotland vs West Indies,T20I # 1826,Mark Watt,4,0,12,3,3,16,1,0,1,0
Scotland vs West Indies,T20I # 1826,Brad Wheal,4,0,32,2,8,10,4,1,0,0
Scotland vs West Indies,T20I # 1826,Josh Davey,3,0,34,1,11.33,8,4,2,1,0
Scotland vs West Indies,T20I # 1826,Safyaan Sharif,3.3,0,23,1,6.57,7,2,0,2,0
Scotland vs West Indies,T20I # 1826,Michael Leask,4,0,15,2,3.75,11,0,0,1,0
Ireland vs Zimbabwe,T20I # 1828,Josh Little,4,0,24,3,6,11,3,0,0,0
Ireland vs Zimbabwe,T20I # 1828,Mark Adair,4,0,39,2,9.75,6,3,1,2,0
Ireland vs Zimbabwe,T20I # 1828,Barry McCarthy,4,0,24,0,6,11,2,0,2,0
